Timestamp,Voltage(V),Current(A),Power(W),Temp(C),SoC(%),Unbalanced,Vann,Overtemp
0,48.95,0.0,33,23,100,0,0,0
1,48.96,0.0,33,23,100,0,0,0
2,48.95,0.0,34,23,100,0,0,0
3,48.95,0.0,35,23,100,0,0,0
4,48.96,0.0,36,23,100,0,0,0
5,48.96,0.0,34,23,100,0,0,0
6,48.95,0.0,35,23,100,0,0,0
7,48.95,0.0,34,23,100,0,0,0
8,48.96,0.0,34,23,100,0,0,0
9,48.95,0.0,35,23,100,0,0,0
10,48.96,0.0,34,23,100,0,0,0
12,48.95,0.0,34,23,100,0,0,0
13,48.95,0.0,35,23,100,0,0,0
14,48.95,0.0,34,23,100,0,0,0
15,48.95,0.0,35,23,100,0,0,0
16,48.95,0.0,35,23,100,0,0,0
17,48.95,0.0,34,23,100,0,0,0
18,48.95,0.0,34,23,100,0,0,0
19,48.95,0.0,34,23,100,0,0,0
20,48.95,0.0,36,23,100,0,0,0
21,48.95,0.0,34,23,100,0,0,0
22,48.95,0.0,34,23,100,0,0,0
23,48.95,0.0,35,23,100,0,0,0
24,48.95,0.0,34,23,100,0,0,0
25,48.95,0.0,34,23,100,0,0,0
26,48.95,0.0,33,23,100,0,0,0
27,48.95,0.0,34,23,100,0,0,0
28,48.95,0.0,34,23,100,0,0,0
29,48.95,0.0,36,23,100,0,0,0
30,48.95,0.0,35,23,100,0,0,0
31,48.95,0.0,35,23,100,0,0,0
33,48.95,0.0,34,23,100,0,0,0
34,48.95,0.0,34,23,100,0,0,0
35,48.95,0.0,35,23,100,0,0,0
36,48.95,0.0,34,23,100,0,0,0
37,48.95,0.0,35,23,100,0,0,0
38,48.95,0.0,34,23,100,0,0,0
39,48.95,0.0,34,23,100,0,0,0
40,48.95,0.0,36,23,100,0,0,0
41,48.95,0.0,35,23,100,0,0,0
42,48.95,0.0,34,23,100,0,0,0
43,48.95,0.0,33,23,100,0,0,0
44,48.95,0.0,33,23,100,0,0,0
45,48.95,0.0,34,23,100,0,0,0
46,48.95,0.0,36,23,100,0,0,0
47,48.95,0.0,36,23,100,0,0,0
48,48.95,0.0,35,23,100,0,0,0
49,48.95,0.0,33,23,100,0,0,0
51,48.95,0.0,33,23,100,0,0,0
52,48.95,0.0,34,23,100,0,0,0
53,48.95,0.0,34,23,100,0,0,0
54,48.95,0.0,35,23,100,0,0,0
55,48.95,0.0,35,23,100,0,0,0
56,48.95,0.0,35,23,100,0,0,0
57,48.95,0.0,34,23,100,0,0,0
58,48.95,0.0,34,23,100,0,0,0
59,48.95,0.0,34,23,100,0,0,0
60,48.95,0.0,34,23,100,0,0,0
61,48.95,0.0,35,23,100,0,0,0
62,48.95,0.0,35,23,100,0,0,0
63,48.95,0.0,35,23,100,0,0,0
