Timestamp,Voltage(V),Current(A),Power(W),Temp(C),SoC(%),Unbalanced,Vann,Overtemp
1,49.64,3.0,148,24,86,0,0,0
1,49.64,3.0,148,24,86,0,0,0
3,49.64,3.0,148,24,86,0,0,0
4,49.64,3.0,148,24,86,0,0,0
5,49.65,3.0,149,24,86,0,0,0
6,49.64,3.0,148,24,86,0,0,0
7,49.65,3.0,149,24,86,0,0,0
8,49.64,3.0,148,24,86,0,0,0
9,49.65,3.0,148,24,86,0,0,0
10,49.65,3.0,148,24,86,0,0,0
